,Candidate,Constitutency,Party,Votes
1108,SOLANKI_DHIRUBHAI_MEGHAJIBHAI,Lathi,Bahujan_Samaj_Party,878
1109,M.D.(BHANUBHAI)_MANJARIYA,Lathi,Aam_Aadmi_Party,797
1110,HITESH_NAROLA_(ROBERT),Lathi,Independent,676
1111,J.R.PARMAR,Lathi,Independent,390
1112,KOTHIYA_DHIRUBHAI_SHAMBHUBHAI_(PATEL),Lathi,Sardar_Vallabhbhai_Patel_Party,325
1113,J.D.VAVDIYA,Lathi,Real_Democracy_Party,234
1114,ASVINBHAI_BATUKBHAI_LIMBASIYA,Lathi,Bharatiya_National_Janta_Dal,184
1115,PRATAP_DUDHAT,Savarkundla,Indian_National_Congress,66366
1116,KAMLESH_RASIKBHAI_KANANI,Savarkundla,Bharatiya_Janata_Party,57835
1117,KHIMASURIYA_RAMESHKUMAR_SHAMJIBHAI,Savarkundla,Bahujan_Samaj_Party,1505
1118,VALA_HAKUBHAI_MULUBHAI_(_HAKU_VALA_),Savarkundla,Independent,1491
1119,TOTA_NATHABHAI_DAYABHAI_(BHARVAD),Savarkundla,Navin_Bharat_Nirman_Manch,990
1120,VALODRA_VRAJLAL_JIVABHAI,Savarkundla,Independent,982
1121,BHARATBHAI_MANUBHAI_CHUDASAMA,Savarkundla,Independent,929
1122,HIMMAT_BAGDA,Savarkundla,Independent,440
1123,KHACHAR_VIJAYBHA_RANINGBHAI,Savarkundla,Independent,389
1124,BORAD_RUPESHBHAI_RAMESHBHAI,Savarkundla,Independent,348
1125,NANABHAI_KALIDAS_MEHTA,Savarkundla,Independent,208
1126,DER_AMARISHBHAI_JIVABHAI,Rajula,Indian_National_Congress,83818
1127,SOLANKI_HIRABHAI_ODHAVJIBHAI,Rajula,Bharatiya_Janata_Party,71099
1128,SHANTUBHAI_BABABHAI_VARU,Rajula,Independent,1969
1129,KATARIYA_MANUBHAI_MATHURBHAI,Rajula,Bahujan_Samaj_Party,1767
1130,VAGHELA_BHAVESHBHAI_MOHANBHAI,Rajula,Independent,1463
1131,VARU_KESHUBHAI_BAVKUBHAI,Rajula,All_India_Hindustan_Congress_Party,1269
1132,LADUMOR_ARVINDBHAI_KARSHANBHAI,Rajula,Independent,661
1133,MAKWANA_RAGHAVBHAI_CHONDABHAI,Mahuva,Bharatiya_Janata_Party,44410
1134,DR._KANUBHAI_V._KALSARIA,Mahuva,Independent,39401
1135,BARAIYA_VIJAYBHAI_RAVJIBHAI,Mahuva,Indian_National_Congress,30576
1136,BIPINKUMAR_BHUPATRAY_SANGHAVI,Mahuva,Independent,13414
1137,CHHAGANBHAI_BACHUBHAI_PARMAR,Mahuva,Vyavastha_Parivartan_Party,1234
1138,BHALIYA_CHANDUBHAI_BABUBHAI,Mahuva,Gujarat_Jan_Chetna_Party,1021
1139,GOHIL_PRATAPBHAI_NANJIBHAI,Mahuva,All_India_Hindustan_Congress_Party,989
1140,KALSARIYA_RANCHHODBHAI_JADAVBHAI,Mahuva,Independent,938
1141,KANUBHAI_MATHURAMBHAI_BARAIYA,Talaja,Indian_National_Congress,66862
1142,CHAUHAN_GAUTAMBHAI_GOPABHAI,Talaja,Bharatiya_Janata_Party,65083
1143,KISHORBHAI_RUDABHAI_VAGHELA,Talaja,Vyavastha_Parivartan_Party,1393
1144,KAGADA_RAMESHBHAI_PUNABHAI,Talaja,All_India_Hindustan_Congress_Party,1250
1145,VEGAD_HARESHBHAI_BABUBHAI,Talaja,Independent,1242
1146,BHALIYA_HARSHADBHAI.V,Talaja,Independent,891
1147,BAMBHANIA_SHANTIBHAI_ARJANBHAI,Talaja,Independent,632
1148,BHIL_CHHAGANBHAI_HAJABHAI,Talaja,Gujarat_Jan_Chetna_Party,578
1149,BHARATKUMAR_NANDLAL_NIMAVAT,Talaja,Independent,292
1150,BARAIYA_SURESHBHAI_NATHABHAI,Talaja,Independent,226
1151,GORADIYA_SURESHBHAI_SHANTILAL_(KANSARA),Talaja,Independent,216
1152,CHAUHAN_HARSHADBHAI_MANUBHAI,Talaja,Independent,179
1153,NAKRANI_KESHUBHAI_HIRJIBHAI,Gariadhar,Bharatiya_Janata_Party,50635
1154,KHENI_PARESHBHAI_MANJIBHAI,Gariadhar,Indian_National_Congress,48759
1155,CHAVADA_MANUBHAI_PARSOTTAMBHAI,Gariadhar,Gujarat_Jan_Chetna_Party,6645
1156,KANTARIYA_DHIRUBHAI_DEVJIBHAI,Gariadhar,Bahujan_Samaj_Party,1145
1157,SARVAIYA_MANUBHAI_RUDABHAI,Gariadhar,Independent,1027
1158,GOHIL_DARBAR_KANUBHAI_HAMIRBHAI,Gariadhar,Independent,938
1159,KHASIYA_DEVJIBHAI_DUDABHAI,Gariadhar,Navin_Bharat_Nirman_Manch,627
1160,GOSAI_ASHOKGIRI_SHANTIGIRI,Gariadhar,Yuva_Sarkar,443
1161,GOSAI_AMITPARI_NATHUPARI,Gariadhar,Independent,440
1162,DABHI_GABHABHAI_BALUBHAI,Gariadhar,All_India_Hindustan_Congress_Party,406
1163,PARMAR_KALPESHBHAI_MATHURBHAI,Gariadhar,Vyavastha_Parivartan_Party,352
1164,AJAMERI_SULEMANBHAI_HASANBHAI,Gariadhar,Independent,334
1165,BARAIYA_BHIKHABHAI_RAVAJIBHAI,Palitana,Bharatiya_Janata_Party,69479
1166,RATHOD_PRAVINBHAI_JINABHAI,Palitana,Indian_National_Congress,55290
1167,GADHAVI_PRAVINBHAI_MULUBHAI,Palitana,Gujarat_Jan_Chetna_Party,7784
1168,RATHOD_BHARATBHAI_MADHUBHAI,Palitana,All_India_Hindustan_Congress_Party,3384
1169,DANKHARA_NANUBHAI_BHIKHABHAI,Palitana,Independent,2429
1170,LAXMANBHAI_JIVABHAI_MALANKIYA,Palitana,Independent,1588
1171,RAKESH_G._PAGI,Palitana,Lokshahi_Satta_Party,1354
1172,MEVADA_MAHESHBHAI_SHAMJIBHAI,Palitana,Bahujan_Samaj_Party,1063
1173,VAGHELA_VIPULBHAI_BHARATBHAI,Palitana,Jan_Satya_Path_Party,855
1174,LALLUBHAI_JINABHAI_DAKHARA,Palitana,Independent,831
1175,SAIYAD_USMANBHAI_NATHABHAI,Palitana,Independent,822
1176,CHAUHAN_NARSHIBHAI_UKABHAI,Palitana,Independent,765
1177,NAKRANI_VIJAYBHAI_MAHESHBHAI,Palitana,Independent,504
1178,JIVRAJBHAI_VELAJIBHAI_MAKWANA,Palitana,Independent,357
1179,KHADRANI_ASIMBHAI_PIRBHAI,Palitana,Independent,340
1180,PARSOTTAMBHAI_ODHAVJIBHAI_SOLANKI,Bhavnagar_Rural,Bharatiya_Janata_Party,89555
1181,KANTIBHAI_TAPUBHAI_CHAUHAN,Bhavnagar_Rural,Indian_National_Congress,58562
1182,SOLANKI_VICKY_GIRISHBHAI,Bhavnagar_Rural,Independent,2143
1183,GOHIL_NARENDRABHAI_DIPAKBHAI,Bhavnagar_Rural,Lokshahi_Satta_Party,1959
1184,GOHIL_DIGVIJAYSINH_BHIKHUBHA,Bhavnagar_Rural,Bahujan_Samaj_Party,1444
1185,VINODBHAI_KANJIBHAI_SOLANKI,Bhavnagar_Rural,Vyavastha_Parivartan_Party,1284
1186,GOHIL_PRAVINSINH_DHIRUBHA,Bhavnagar_Rural,All_India_Hindustan_Congress_Party,1284
1187,HEMANTSINH_KARANSINH_GOHIL,Bhavnagar_Rural,Independent,1200
1188,DAKHARA_TULASIBHAI_LAXMANBHAI,Bhavnagar_Rural,Independent,565
1189,GOHIL_DILAVARSINH_CHHANUBHA,Bhavnagar_Rural,Independent,487
1190,DAVE_VIBHAVARI,Bhavnagar_East,Bharatiya_Janata_Party,87323
1191,RATHOD_NITABEN_BABUBHAI,Bhavnagar_East,Indian_National_Congress,64881
1192,CHAUHAN_SURESHBHAI_CHHABILDAS,Bhavnagar_East,Vyavastha_Parivartan_Party,2037
1193,SOLANKI_USMANBHAI_AHAMADBHAI,Bhavnagar_East,Independent,1151
1194,JITENDRABHAI_SAVAJIBHAI_VAGHANI_(JITU_VAGHANI),Bhavnagar_West,Bharatiya_Janata_Party,83701
1195,GOHIL_DILIPSINH_AJITSINH,Bhavnagar_West,Indian_National_Congress,56516
1196,DHARAMASHIBHAI_RAMJIBHAI_DHAPA,Bhavnagar_West,Vyavastha_Parivartan_Party,3501
1197,MAKAWANA_SANJAYBHAI_MAGANBHAI,Bhavnagar_West,Shivsena,1674
1198,PANKAJBHAI_MOHANBHAI_SANDISH,Bhavnagar_West,Independent,1010
1199,RATHOD_DINESHBHAI_LAKHABHAI,Bhavnagar_West,Bahujan_Samaj_Party,774
1200,PATHAN_VAJIRKHAN_MOHABBATKHAN,Bhavnagar_West,Independent,380
1201,DHARAIYA_NARESHBHAI_KHIMAJIBHAI,Bhavnagar_West,Independent,305
1202,GORI_SADIK_A.SATARBHAI,Bhavnagar_West,Independent,215
1203,VEGAD_NATHABHAI_BACHUBHAI,Bhavnagar_West,Rashtriya_Jankranti_Party,140
1204,MARU_PRAVINBHAI_TIDABHAI,Gadhada,Indian_National_Congress,69457
1205,ATMARAM_MAKANBHAI_PARMAR,Gadhada,Bharatiya_Janata_Party,60033
1206,V._V._PARMAR,Gadhada,Independent,1361
1207,SOLANKI_MANJIBHAI_VIRABHAI,Gadhada,Nationalist_Congress_Party,1001
1208,PARMAR_GAGAJIBHAI_POLABHAI,Gadhada,Independent,917
1209,ASHOKBHAI_BHAYABHAI_GILATAR,Gadhada,Vyavastha_Parivartan_Party,614
1210,SOLANKI_MINABEN_SHANTILAL,Gadhada,Bahujan_Samaj_Party,443
1211,MAKWANA_DALPATBHAI_MOHANBHAI,Gadhada,All_India_Hindustan_Congress_Party,376
1212,SAURABH_PATEL_(DALAL),Botad,Bharatiya_Janata_Party,79623
1213,KALATHIYA_DHIRAJLAL_MADHAVJIBHAI__(D.M.PATEL),Botad,Indian_National_Congress,78717
1214,JAMOD_SOMABHAI_RAMJIBHAI,Botad,Independent,4708
1215,DALVADI_MANSUKHABHAI_LAXMANBHAI,Botad,Independent,2247
1216,NAKABHAI_VELABHAI_BARAIYA,Botad,Independent,1828
1217,CHAVDA_GUNVANTBHAI_BHIMJIBHAI,Botad,Bahujan_Samaj_Party,966
1218,KHAMBHALIA_SURABHAI_DEVAYATBHAI,Botad,Shivsena,815
1219,JAMOD_PRABHUBHAI_VALJIBHAI,Botad,Gujarat_Jan_Chetna_Party,682
1220,GHANSHYAMBHAI_GHUGHABHAI_DHARAJIYA,Botad,Nationalist_Congress_Party,656
1221,CHAUHAN_MULSHANKARBHAI_RAGHURAMBHAI,Botad,Independent,611
1222,BABUBHAI_TALSHIBHAI,Botad,Independent,578
1223,BALIYA_RATNABHAI_SAMATBHAI,Botad,Independent,460
1224,RAMESHBHAI_NARANBHAI_METALIYA,Botad,Independent,438
1225,CHAUHAN_BHARATBHAI_SAVJIBHAI,Botad,Independent,427
1226,JANGAD_ABUBAKAR_RAHIMBHAI,Botad,Independent,425
1227,BAVALIYA_JILUBHAI_MITHABHAI,Botad,Aam_Aadmi_Party,361
1228,RAMJIBHAI_KUKABHAI_SAPARA,Botad,Independent,349
1229,CHAUHAN_MUNNABHAI_HIRABHAI,Botad,Independent,335
1230,CHAVDA_PRAKASHBHAI_BHARATBHAI,Botad,Independent,325
1231,BAVALIYA_PUNAMBHAI_DHANJIBHAI,Botad,Independent,294
1232,MORADIYA_NITESHBHAI_PURUSHOTAMBHAI,Botad,Independent,284
1233,CHAUHAN_KAMLESHBHAI_ARJANBHAI,Botad,Vyavastha_Parivartan_Party,249
1234,MER_KALUBHAI_SHIVABHAI,Botad,Independent,196
1235,PATEL_MAHESHBHAI_RAMNIKBHAI,Botad,Independent,184
1236,ARJANBHAI_SHIVABHAI_DHARAJIYA,Botad,Independent,162
1237,MAHESHKUMAR_KANAIYALAL_RAVAL__(MAYUR_RAVAL),Khambhat,Bharatiya_Janata_Party,71459
1238,PATEL_KHUSHMANBHAI_SHANTILAL,Khambhat,Indian_National_Congress,69141
1239,BHADRIKKUMAR_HIRABHAI_SOLANKI,Khambhat,Bahujan_Samaj_Party,1499
1240,PATEL_CHANDRAKANTBHAI_BHAILALBHAI,Khambhat,Indian_New_Congress_Party,1155
1241,DR._PATEL_DINESHBHAI_SHANABHAI,Khambhat,Navin_Bharat_Nirman_Manch,971
1242,PARMAR_TARAKBHAI_HIMMATBHAI,Khambhat,Gujarat_Jan_Chetna_Party,967
1243,PURSHOTTAM_ALIAS_KANUBHAI_MATHURBHAI_CHAUHAN,Khambhat,Independent,794
1244,PARMAR_RAJENDRASINH_DHIRSINH,Borsad,Indian_National_Congress,86254
1245,RAMANBHAI_BHIKHABHAI_SOLANKI,Borsad,Bharatiya_Janata_Party,74786
1246,PARMAR_RAKESHKUMAR_PRAVINBHAI,Borsad,Bahujan_Samaj_Party,1944
1247,MAKWANA_PRAKASHKUMAR_VITHTHALBHAI,Borsad,Independent,1912
1248,ARPANKUMAR_BHASKARBHAI_PATEL,Borsad,Independent,1250
1249,KALPESHKUMAR_JAYANTIBHAI_PATEL_(SHIVABHAU),Borsad,Shivsena,963
1250,PATEL_SHASHIKANTBHAI_RAMANBHAI,Borsad,Manvadhikar_National_Party,490
1251,AMIT_CHAVDA,Anklav,Indian_National_Congress,90603
1252,HANSAKUVARBA_JANAKSINH_RAJ,Anklav,Bharatiya_Janata_Party,56974
1253,PRAKASHBHAI_MAGANBHAI_PARMAR,Anklav,Bahujan_Samaj_Party,1071
1254,RAJENDRASINH_FATESINH_MAHIDA,Anklav,Independent,749
1255,HITESHKUMAR_LALJIBHAI_RABARI,Anklav,Independent,684
1256,GAJENDRASINH_HARISINH_RAJ,Anklav,All_India_Hindustan_Congress_Party,679
1257,PRAVINBHAI_MULJIBHAI_PATEL,Anklav,Lok_Gathbandhan_Party,277
1258,YUSUFBHAI_ABHESANG_RAJ_(PAINTER),Anklav,Independent,276
1259,KAUSHIKKUMAR_CHAVDA,Anklav,Independent,206
1260,GOVINDBHAI_RAIJIBHAI_PARMAR,Umreth,Bharatiya_Janata_Party,68326
1261,KAPILABEN_GOPALSINH_CHAVDA,Umreth,Indian_National_Congress,66443
1262,PATEL_JAYANTBHAI_RAMANBHAI_(BOSKEY),Umreth,Nationalist_Congress_Party,35051
1263,YAKUBMIYA_ABDULMIYA_MALEK,Umreth,Independent,1286
1264,PARMAR_JAYANTIBHAI_BABUBHAI,Umreth,Independent,830
1265,PARMAR_RAMESHBHAI_BHIKHABHAI,Umreth,Apna_Desh_Party,662
1266,PATEL_BHARATBHAI_HARMANBHAI,Umreth,Independent,342
1267,PATEL_SUNILBHAI_MAHENDRABHAI,Umreth,Independent,329
1268,KANTIBHAI_SODHAPARMAR_(BHAGAT),Anand,Indian_National_Congress,98168
1269,YOGESH_PATEL_(BAPAJI),Anand,Bharatiya_Janata_Party,92882
1270,DAVE_JATINBHAI_DINESHCHANDRA,Anand,Independent,1009
1271,NIRANJAN_PATEL,Petlad,Indian_National_Congress,81127
1272,CHANDRAKANT_DAHYABHAI_PATEL_(C.D.PATEL),Petlad,Bharatiya_Janata_Party,70483
1273,GOHEL_HARSHADBHAI_ISHVARBHAI,Petlad,Bahujan_Samaj_Party,1684
1274,TALPADA_KIRITBHAI_CHHAGANBHAI,Petlad,Independent,1157
1275,KACHHIA_KEVALKUMAR_THAKORBHAI,Petlad,Independent,1071
1276,SOMABHAI_JENABHAI_TALPADA,Petlad,Independent,925
1277,GOHEL_THAKORSINH_TAKHATSINH,Petlad,Independent,601
1278,PUNAMBHAI_MADHABHAI_PARMAR,Sojitra,Indian_National_Congress,72423
1279,PATEL_VIPULKUMAR_VINUBHAI,Sojitra,Bharatiya_Janata_Party,70035
1280,VHORA_BILAL_M.,Sojitra,Independent,1663
1281,BHARATBHAI_BABUBHAI_TALPADA,Sojitra,Bahujan_Samaj_Party,1427
1282,TALPADA_KAMLESHKUMAR_GORDHANBHAI,Sojitra,Independent,868
1283,JANI_SUNILKUMAR_MANEKLAL_(BRAHMAN),Sojitra,Independent,433
1284,KESARISINH_JESANGBHAI_SOLANKI,Matar,Bharatiya_Janata_Party,81509
1285,PATEL_SANJAYBHAI_HARIBHAI,Matar,Indian_National_Congress,79103
1286,VIJAYSINH_BHAGVANSINH_MAHIDA,Matar,Independent,1936
1287,BHAILALBHAI_KALUBHAI_PANDAV,Matar,Bahujan_Samaj_Party,795
1288,VAGHELA_MAGANBHAI_DAHYABHAI,Matar,Independent,571
1289,CHAUHAN_MAHIPATSINH_KESARISINH,Matar,All_India_Hindustan_Congress_Party,549
1290,JAYESHBHAI_GHANSHYAMBHAI_BHATT_(MAHARAJ),Matar,Independent,442
1291,CHHASATIYA_RAJENDRASINH_GIRAVATSINH,Matar,Independent,353
1292,PATEL_YOGESHKUMAR_DHULABHAI,Matar,Shivsena,203
1293,MALEK_ANVARMIYA_KADARMIYA,Matar,Indian_National_League,156
1294,DESAI_PANKAJBHAI_VINUBHAI(GOTIYO),Nadiad,Bharatiya_Janata_Party,90221
1295,JITENDRA_SURYAKANTBHAI_PATEL_(AZAD),Nadiad,Indian_National_Congress,69383
1296,CHAUHAN_MAHIPALSINH_FATESINH,Nadiad,Nationalist_Congress_Party,1515
1297,VANKAVALA_IMARANBHAI_BILALBHAI,Nadiad,Independent,1078
1298,RANA_PRATAPSINH_CHHATRASINH,Nadiad,Independent,925
1299,SOLANKI_BIPINBHAI_DALABHAI(ADVOCATE),Nadiad,Bahujan_Samaj_Party,673
1300,RAGINIBEN_MAHENDRABHAI_RANA,Nadiad,Independent,327
1301,MIRZA_MUJJAFARBEG_HARUNBEG,Nadiad,Independent,314
1302,RAV_PRITESH__KANUBHAI,Nadiad,Yuva_Sarkar,243
1303,KRUPANIVASI_MANISHKUMAR__KIRTIKUMAR,Nadiad,Independent,185
1304,MALEK_GULAMNABI_YASINMIYA,Nadiad,Independent,179
1305,CHAUHAN__ARJUNSINH_UDESINH,Mehmedabad,Bharatiya_Janata_Party,88908
1306,GAUTAMBHAI_RAVJIBHAI_CHAUHAN,Mehmedabad,Indian_National_Congress,67993
1307,CHUAHAN_JUVANSINH_GANDABHAI,Mehmedabad,Independent,9813
1308,GOHEL_HARSHADKUMAR_DEVJIBHAI,Mehmedabad,Bahujan_Samaj_Party,2203
1309,INDRAJITSINH_NATVARSINH_PARMAR,Mahudha,Indian_National_Congress,78006
1310,BHARATSINH_RAYSINGBHAI_PARMAR,Mahudha,Bharatiya_Janata_Party,64405
1311,VAGHELA_MANOJKUMAR_NATUBHAI,Mahudha,All_India_Hindustan_Congress_Party,5248
1312,VAGHELA_KAMLESHKUMAR_LAXMANSINH,Mahudha,Independent,1215
1313,TALPADA_GANPATBHAI_DAHYABHAI,Mahudha,Bahujan_Samaj_Party,1172
1314,VIMAL_PATEL,Mahudha,Independent,1029
1315,THAKOR_BHISHMAPALSINH_JITENDRASINH,Mahudha,Insaniyat_Party,873
1316,MOHD._ANSAR_SHEKH,Mahudha,Manvadhikar_National_Party,361
1317,KANTIBHAI_SHABHAIBHAI_PARMAR,Thasra,Indian_National_Congress,87567
1318,RAMSINH_PARMAR,Thasra,Bharatiya_Janata_Party,80539
1319,BIPINKUMAR_(ADVOCATE),Thasra,Bahujan_Samaj_Party,1783
1320,THAKOR_KARNPALSINH_GAJPALSINH,Thasra,Lok_Gathbandhan_Party,1462
1321,PATHAN_MUKTYARKHAN_AKBARKHAN,Thasra,Janata_Dal__(United),1179
1322,PATEL_SHANTILAL_CHHOTALAL,Thasra,Independent,987
1323,DABHI_KALABHAI_RAIJIBHAI,Kapadvanj,Indian_National_Congress,85195
1324,DABHI_KANUBHAI_BHULABHAI,Kapadvanj,Bharatiya_Janata_Party,57969
1325,BIMAL_SHAH,Kapadvanj,Independent,46928
1326,KHOKHAR_MAJIDALI_ABDULMIYA,Kapadvanj,Nationalist_Congress_Party,2849
1327,RAJENDRASINH_NANSINH_ZALA,Kapadvanj,Independent,1503
1328,PATHAN_AMANULLAKHAA_SITABKHAA,Kapadvanj,Janata_Dal__(United),1312
1329,PARMAR_DILIPSINH_KANUBHAI,Kapadvanj,Insaniyat_Party,1296
1330,AJITSINH_PARVATSINH_CHAUHAN,Balasinor,Indian_National_Congress,84620
1331,CHAUHAN_MANSINH_KOHYABHAI,Balasinor,Bharatiya_Janata_Party,74018
1332,PATEL_HITENDRA(HITESH)KUMAR_BALDEVBHAI,Balasinor,Nationalist_Congress_Party,5974
1333,ZALA_ABHESINH_AMARBHAI,Balasinor,Independent,2058
1334,SHAIKH_MUSTAKBHAI_AIYUBBHAI,Balasinor,Janata_Dal__(United),748
1335,RATHOD_RATANSINH_MAGANSINH,Lunawada,Independent,55098
1336,PATEL_MANOJKUMAR_RAYAJIBHAI,Lunawada,Bharatiya_Janata_Party,51898
1337,PARMAR_PARANJAYADITYASINHJI_KRISHNAKUMARSINHJI,Lunawada,Indian_National_Congress,47093
1338,SOLANKI_BHUPENDRASINH_PRABHATSINH,Lunawada,Independent,8660
1339,HIRENKUMAR_GIRISHBHAI_PATEL,Lunawada,Rashtriya_Samaj_Paksha,4654
1340,VISHALSINH_MAHENDRASINH_SOLANKI,Lunawada,Independent,1553
1341,PATEL_HARIDAS_REVABHAI,Lunawada,Bahujan_Samaj_Party,1053
1342,SHEIKH_MOHAMMADANVER_MOHAMMADISHAK,Lunawada,Independent,992
1343,SHEKH_JAKIRHUSEN_HUSENMIYA,Lunawada,Independent,626
1344,DINDOR_KUBERBHAI_MANSUKHBHAI,Santrampur,Bharatiya_Janata_Party,68362
1345,DAMOR_GENDALBHAI_MOTIBHAI,Santrampur,Indian_National_Congress,61938
1346,VALAVAI_RAJENDRAKUMAR_BABALBHAI_(RAJU_VALAVAI),Santrampur,Nationalist_Congress_Party,2378
1347,VAGADIYA_YOGESHBHAI_MASURBHAI,Santrampur,All_India_Hindustan_Congress_Party,2219
1348,BARIYA_RAMABHAI__KOHYABHAI,Santrampur,Bahujan_Samaj_Party,1416
1349,AHIR(BHARWAD)_JETHABHAI_GHELABHAI,Shehra,Bharatiya_Janata_Party,100383
1350,CHAUHAN_DUSHYANTSINH_NARVATSINH,Shehra,Indian_National_Congress,59314
1351,GADHAVI_LALABHAI_GANGDASBHAI,Shehra,Shivsena,2268
1352,VANKAR_PRAFULCHANDR_PUNJABHAI,Shehra,Bahujan_Samaj_Party,1493
1353,KHANT_BHUPENDRASINH_VECHATBHAI,Morva_Hadaf_,Independent,58513
1354,DINDOR_VIKRAMSINH_RAMSINH,Morva_Hadaf_,Bharatiya_Janata_Party,54147
1355,DAMOR_ALPESHBHAI_TERSINGBHAI,Morva_Hadaf_,Bhartiya_Tribal_Party,8246
1356,C._K._RAULJI,Godhra,Bharatiya_Janata_Party,75149
1357,PARMAR_RAJENDRASINH_BALVANTSINH_(LALABHAI),Godhra,Indian_National_Congress,74891
1358,PARMAR_JASHVANTSINH_SALAMSINH,Godhra,Independent,18856
1359,MANSURI_MUKHTAR_AHEMED_MOHAMMAD,Godhra,Independent,1713
1360,BHANA_VASIM_FARUK,Godhra,Independent,1435
1361,KUMAR_KANUBHAI_HIRABHAI,Godhra,Bahujan_Samaj_Party,1215
1362,DR._GAJENDRASINH_KANTILAL_BAMANIYA_(GOPAL),Godhra,Bahujan_Mukti_Party,1085
1363,PATHAN_INAYATKHAN_MAHERALIKHAN,Godhra,Independent,494
1364,DIWAN_MEHDISHA_KARIMSHA,Godhra,Independent,441
1365,SARDAR_AMANPRITSINGH_SURENDRASINGH,Godhra,All_India_Hindustan_Congress_Party,334
1366,UMMARJI_ZUBER_ABDULLA,Godhra,Independent,248
1367,CHAUHAN_SUMANBEN_PRAVINSINH,Kalol,Bharatiya_Janata_Party,103028
1368,PARMAR_PRADHYUMANSINH_VIJAYSINH_(PANCHMAHAL_ZEROXWALA),Kalol,Indian_National_Congress,53751
1369,GIRI_RAMCHANDRA_VAIJNATH,Kalol,Bahujan_Samaj_Party,3383
1370,PARMAR_ASHOKBHAI_KANABHAI,Kalol,Independent,2673
1371,PATEL_AILESHKUMAR_KANUBHAI,Kalol,All_India_Hindustan_Congress_Party,2197
1372,JAYDRATHSINHJI__PARMAR,Halol,Bharatiya_Janata_Party,115457
1373,UDESINH_BARIA,Halol,Indian_National_Congress,58423
1374,MODI_SONALBEN_RATILAL,Halol,Independent,2458
1375,MAHESHWARI_VASUDEV_UTTAMCHAND,Halol,Independent,2440
1376,KATARA_RAMESHBHAI_BHURABHAI,Fatepura,Bharatiya_Janata_Party,60250
1377,MACHHAR_RAGHUBHAI_DITABHAI,Fatepura,Indian_National_Congress,57539
1378,PRABHUBHAI_KALJIBHAI_BARIA,Fatepura,Nationalist_Congress_Party,2747
1379,TAVIYAD_PARSINGBHAI_PUNJABHAI,Fatepura,Janata_Dal__(United),1989
1380,BARIYA_SAMJIBHAI_MAKABHAI,Fatepura,All_India_Hindustan_Congress_Party,1545
1381,BHABHOR_RAMESHBHAI_BILKARBHAI,Fatepura,Bahujan_Samaj_Party,1186
1382,KATARA_BHAVESHBHAI_BABUBHAI,Jhalod,Indian_National_Congress,86077
1383,BHURIYA_MAHESHBHAI_SOMJIBHAI,Jhalod,Bharatiya_Janata_Party,60667
1384,BHABHOR_SHAILESHBHAI_SUMANBHAI,Limkheda,Bharatiya_Janata_Party,74078
1385,TADVI_MAHESHBHAI_RATANSING,Limkheda,Indian_National_Congress,54764
1386,BHABHOR_BABUBHAI_SONIYABHAI,Limkheda,Independent,4144
1387,KATARA__HURABHAI_GALJIBHAI,Limkheda,All_India_Hindustan_Congress_Party,1949
1388,DAMOR_VESTABHAI_JOKHNABHAI,Limkheda,Independent,1032
1389,PANADA_VAJESINGBHAI_PARSINGBHAI,Dahod,Indian_National_Congress,79850
1390,KISHORI_KANAIYALAL_BACHUBHAI,Dahod,Bharatiya_Janata_Party,64347
1391,BHABHOR_BABUBHAI_MALABHAI,Dahod,Independent,1784
1392,PARMAR_DEVENDRAKUMAR_VASANTLAL,Dahod,Nationalist_Congress_Party,1744
1393,DEHADA_NARESHBHAI_RAMABHAI,Dahod,Independent,686
1394,PARMAR_MUKESHBHAI_HIRABHAI,Dahod,Bahujan_Samaj_Party,677
1395,HIHOR_NARSINGBHAI_KHIMABHAI,Dahod,All_India_Hindustan_Congress_Party,642
1396,BARIYA_CHANDRIKABEN_CHHAGANBHAI,Garbada,Indian_National_Congress,64280
1397,BHABHOR_MAHENDRABHAI_RAMESHBHAI,Garbada,Bharatiya_Janata_Party,48152
1398,BHABHOR_KALIBEN_DHULABHAI,Garbada,Bahujan_Samaj_Party,3179
1399,DEHDA_BALUBHAI_HUMJIBHAI,Garbada,All_India_Hindustan_Congress_Party,2711
1400,JAGDISHBHAI_MANILAL_MEDA,Garbada,Bharatiya_National_Janta_Dal,2150
1401,BHURA_NAVALABHAI_MANABHAI,Garbada,Janata_Dal__(United),1506
1402,KHABAD_BACHUBHAI_MAGANBHAI,Devgadhbaria,Bharatiya_Janata_Party,103873
1403,VAKHALA_BHARATSINH_PRATAPBHAI,Devgadhbaria,Indian_National_Congress,58179
1404,CHAUHAN_RANJITSINH_DOLATSINH,Devgadhbaria,Nationalist_Congress_Party,3529
1405,BARIYA_NARSING_DIPSINH,Devgadhbaria,All_India_Hindustan_Congress_Party,3019
1406,BARIYA_MANILAL_HIRABHAI,Devgadhbaria,Independent,1338
1407,INAMDAR_KETANBHAI_MAHENDRABHAI,Savli,Bharatiya_Janata_Party,97646
1408,BRAHMBHATT_SAGAR_PRAKASH_KOKO,Savli,Indian_National_Congress,56013
1409,CHAUHAN_KHUMANSINH_RAYSINH,Savli,Nationalist_Congress_Party,4060
1410,MAHIDA_VIJAYSINH_DALPATSINH,Savli,Shivsena,1343
1411,ARPANKUMAR_BHASKARBHAI_PATEL,Savli,Independent,960
